time,signal
1.61051E-08,0.01074038
1.61151E-08,0.010702089
1.61251E-08,0.010663935
1.61351E-08,0.010625917
1.61451E-08,0.010588035
1.61551E-08,0.010550288
1.61651E-08,0.010512675
1.61751E-08,0.010475197
1.61851E-08,0.010437852
1.61951E-08,0.01040064
1.62051E-08,0.01036356
1.62151E-08,0.010326614
1.62251E-08,0.010289798
1.62351E-08,0.010253114
1.62451E-08,0.010216561
1.62551E-08,0.010180138
1.62651E-08,0.010143844
1.62751E-08,0.010107681
1.62851E-08,0.010071646
1.62951E-08,0.01003574
1.63051E-08,0.009999962
1.63151E-08,0.009964311
1.63251E-08,0.009928787
1.63351E-08,0.00989339
1.63451E-08,0.009858119
1.63551E-08,0.009822974
1.63651E-08,0.009787954
1.63751E-08,0.00975306
1.63851E-08,0.009718289
1.63951E-08,0.009683643
1.64051E-08,0.009649119
1.64151E-08,0.009614719
1.64251E-08,0.009580442
1.64351E-08,0.009546286
1.64451E-08,0.009512253
1.64551E-08,0.009478342
1.64651E-08,0.009444551
1.64751E-08,0.00941088
1.64851E-08,0.009377329
1.64951E-08,0.009343898
1.65051E-08,0.009310586
1.65151E-08,0.009277393
1.65251E-08,0.009244318
1.65351E-08,0.009211361
1.65451E-08,0.009178522
1.65551E-08,0.0091458
1.65651E-08,0.009113194
1.65751E-08,0.009080705
1.65851E-08,0.009048332
1.65951E-08,0.009016073
1.66051E-08,0.008983931
1.66151E-08,0.008951901
1.66251E-08,0.008919988
1.66351E-08,0.008888187
1.66451E-08,0.0088565
1.66551E-08,0.008824926
1.66651E-08,0.008793464
1.66751E-08,0.008762115
1.66851E-08,0.008730876
1.66951E-08,0.008699751
1.67051E-08,0.008668735
1.67151E-08,0.00863783
1.67251E-08,0.008607036
1.67351E-08,0.00857635
1.67451E-08,0.008545775
1.67551E-08,0.008515309
1.67651E-08,0.008484951
1.67751E-08,0.008454701
1.67851E-08,0.00842456
1.67951E-08,0.008394525
1.68051E-08,0.008364598
1.68151E-08,0.008334777
1.68251E-08,0.008305063
1.68351E-08,0.008275455
1.68451E-08,0.008245952
1.68551E-08,0.008216554
1.68651E-08,0.008187261
1.68751E-08,0.008158074
1.68851E-08,0.008128989
1.68951E-08,0.008100009
1.69051E-08,0.008071131
1.69151E-08,0.008042357
1.69251E-08,0.008013685
1.69351E-08,0.007985116
1.69451E-08,0.007956648
1.69551E-08,0.007928282
1.69651E-08,0.007900017
1.69751E-08,0.007871853
1.69851E-08,0.007843789
1.69951E-08,0.007815825
1.70051E-08,0.007787961
1.70151E-08,0.007760196
1.70251E-08,0.007732531
1.70351E-08,0.007704963
1.70451E-08,0.007677495
1.70551E-08,0.007650123
1.70651E-08,0.00762285
1.70751E-08,0.007595674
1.70851E-08,0.007568595
